word,political_count,nonpolitical_count,ratio,total_count,political_frequency_%,nonpolitical_frequency_%
idea,5,3,1.25,8,0.49,0.14
ওরা,5,3,1.25,8,0.49,0.14
ধরতে,5,3,1.25,8,0.49,0.14
তিনি,5,3,1.25,8,0.49,0.14
bengali,16,12,1.2307692307692308,28,1.55,0.56
আবার,30,24,1.2,54,2.92,1.11
বিশ্বাস,7,5,1.1666666666666667,12,0.68,0.23
ঠিক,21,17,1.1666666666666667,38,2.04,0.79
not,7,5,1.1666666666666667,12,0.68,0.23
ঘণ্টা,7,5,1.1666666666666667,12,0.68,0.23
পোস্ট,8,6,1.1428571428571428,14,0.78,0.28
এটা,18,15,1.125,33,1.75,0.7
হলো,9,7,1.125,16,0.87,0.32
কোথায়,11,9,1.1,20,1.07,0.42
হচ্ছে,13,11,1.0833333333333333,24,1.26,0.51
নিয়ে,56,54,1.018181818181818,110,5.44,2.51
বাড়িতে,10,9,1.0,19,0.97,0.42
পড়েছে,3,2,1.0,5,0.29,0.09
বাঁচাতে,3,2,1.0,5,0.29,0.09
বলতে,9,8,1.0,17,0.87,0.37
আপনাদের,3,2,1.0,5,0.29,0.09
নিজেরা,3,2,1.0,5,0.29,0.09
একেবারে,3,2,1.0,5,0.29,0.09
দেব,4,3,1.0,7,0.39,0.14
করোনা,5,4,1.0,9,0.49,0.19
আমিও,6,5,1.0,11,0.58,0.23
বাংলাদেশ,12,11,1.0,23,1.17,0.51
যতই,3,2,1.0,5,0.29,0.09
তোকে,5,4,1.0,9,0.49,0.19
লোক,4,3,1.0,7,0.39,0.14
দারুণ,3,2,1.0,5,0.29,0.09
বর্তমানে,3,2,1.0,5,0.29,0.09
পেয়েছে,3,2,1.0,5,0.29,0.09
"হয়,",3,2,1.0,5,0.29,0.09
যাচ্ছে,7,6,1.0,13,0.68,0.28
প্রয়োজন,4,3,1.0,7,0.39,0.14
বলবে,4,3,1.0,7,0.39,0.14
টিভি,4,3,1.0,7,0.39,0.14
করেছেন,3,2,1.0,5,0.29,0.09
pay,3,2,1.0,5,0.29,0.09
গুলো,6,5,1.0,11,0.58,0.23
শুনে,4,3,1.0,7,0.39,0.14
করেন,7,6,1.0,13,0.68,0.28
যাবো,4,3,1.0,7,0.39,0.14
করুন,6,5,1.0,11,0.58,0.23
ভোটার,3,2,1.0,5,0.29,0.09
যেতে,8,7,1.0,15,0.78,0.32
দুজনেই,3,2,1.0,5,0.29,0.09
ব্যাপার,3,2,1.0,5,0.29,0.09
হাসপাতালে,3,2,1.0,5,0.29,0.09
পারবো,3,2,1.0,5,0.29,0.09
নিজে,3,2,1.0,5,0.29,0.09
কারণে,3,2,1.0,5,0.29,0.09
tells,3,2,1.0,5,0.29,0.09
ape,3,2,1.0,5,0.29,0.09
ভাষা,3,2,1.0,5,0.29,0.09
আবদার,3,2,1.0,5,0.29,0.09
এটাই,4,3,1.0,7,0.39,0.14
লজ্জা,4,3,1.0,7,0.39,0.14
two,4,3,1.0,7,0.39,0.14
চায়ের,3,2,1.0,5,0.29,0.09
লুকিয়ে,3,2,1.0,5,0.29,0.09
উপরে,3,2,1.0,5,0.29,0.09
দোকানে,4,3,1.0,7,0.39,0.14
অবরোধ,3,2,1.0,5,0.29,0.09
বাড়ি,9,8,1.0,17,0.87,0.37
বললো,4,3,1.0,7,0.39,0.14
মেনে,3,2,1.0,5,0.29,0.09
আপনে,3,2,1.0,5,0.29,0.09
ভেঙে,3,2,1.0,5,0.29,0.09
কবে,8,7,1.0,15,0.78,0.32
কতো,7,6,1.0,13,0.68,0.28
হতো,3,2,1.0,5,0.29,0.09
নির্বাচনী,3,2,1.0,5,0.29,0.09
iris,5,4,1.0,9,0.49,0.19
নিজ,3,2,1.0,5,0.29,0.09
অবশেষে,3,2,1.0,5,0.29,0.09
chi,6,5,1.0,11,0.58,0.23
নিজের,18,18,0.9473684210526315,36,1.75,0.84
বাংলা,27,28,0.9310344827586207,55,2.62,1.3
টাকা,65,70,0.9154929577464789,135,6.32,3.25
এখন,39,43,0.8863636363636364,82,3.79,2.0
হবে,44,49,0.88,93,4.28,2.27
হাজার,7,7,0.875,14,0.68,0.32
আপনাকে,7,7,0.875,14,0.68,0.32
করছে,14,15,0.875,29,1.36,0.7
মুখ,7,7,0.875,14,0.68,0.32
নতুন,13,14,0.8666666666666667,27,1.26,0.65
ill,6,6,0.8571428571428571,12,0.58,0.28
তুলে,6,6,0.8571428571428571,12,0.58,0.28
পাস,6,6,0.8571428571428571,12,0.58,0.28
মতো,11,12,0.8461538461538461,23,1.07,0.56
air,5,5,0.8333333333333334,10,0.49,0.23
বাস,5,5,0.8333333333333334,10,0.49,0.23
"না,",5,5,0.8333333333333334,10,0.49,0.23
মাংস,5,5,0.8333333333333334,10,0.49,0.23
bangladesh,10,11,0.8333333333333334,21,0.97,0.51
করব,5,5,0.8333333333333334,10,0.49,0.23
পরেও,5,5,0.8333333333333334,10,0.49,0.23
খুঁজে,5,5,0.8333333333333334,10,0.49,0.23
মানুষের,9,10,0.8181818181818182,19,0.87,0.46
সেটা,9,10,0.8181818181818182,19,0.87,0.46
গরু,9,10,0.8181818181818182,19,0.87,0.46
নিউজ,4,4,0.8,8,0.39,0.19
দিয়েছি,4,4,0.8,8,0.39,0.19
বালুর,4,4,0.8,8,0.39,0.19
চাওয়া,4,4,0.8,8,0.39,0.19
নিতে,8,9,0.8,17,0.78,0.42
হবেনা,4,4,0.8,8,0.39,0.19
দিল,4,4,0.8,8,0.39,0.19
ভাইয়ের,4,4,0.8,8,0.39,0.19
দিতে,22,27,0.7857142857142857,49,2.14,1.25
লক্ষ,7,8,0.7777777777777778,15,0.68,0.37
টাকার,13,16,0.7647058823529411,29,1.26,0.74
রয়েছে,3,3,0.75,6,0.29,0.14
ten,3,3,0.75,6,0.29,0.14
তো?,3,3,0.75,6,0.29,0.14
they,3,3,0.75,6,0.29,0.14
সকল,3,3,0.75,6,0.29,0.14
থাকার,3,3,0.75,6,0.29,0.14
ওরে,3,3,0.75,6,0.29,0.14
এটী,3,3,0.75,6,0.29,0.14
মিমস,3,3,0.75,6,0.29,0.14
ভাড়া,3,3,0.75,6,0.29,0.14
তলা,3,3,0.75,6,0.29,0.14
সিনেমা,3,3,0.75,6,0.29,0.14
আমায়,3,3,0.75,6,0.29,0.14
মিথ্যা,3,3,0.75,6,0.29,0.14
কলা,3,3,0.75,6,0.29,0.14
ট্রাক,3,3,0.75,6,0.29,0.14
comment,3,3,0.75,6,0.29,0.14
তাকিয়ে,3,3,0.75,6,0.29,0.14
মাল,3,3,0.75,6,0.29,0.14
থেকেই,3,3,0.75,6,0.29,0.14
বিকাশ,3,3,0.75,6,0.29,0.14
eli,3,3,0.75,6,0.29,0.14
পারবে,3,3,0.75,6,0.29,0.14
দেন,9,11,0.75,20,0.87,0.51
some,3,3,0.75,6,0.29,0.14
এনে,3,3,0.75,6,0.29,0.14
হলেও,3,3,0.75,6,0.29,0.14
মাছ,3,3,0.75,6,0.29,0.14
হ্যাঁ,3,3,0.75,6,0.29,0.14
হঠাৎ,3,3,0.75,6,0.29,0.14
দের,3,3,0.75,6,0.29,0.14
বিভিন্ন,3,3,0.75,6,0.29,0.14
ভিতরে,3,3,0.75,6,0.29,0.14
এবং,23,30,0.7419354838709677,53,2.24,1.39
দাও,8,10,0.7272727272727273,18,0.78,0.46
প্রশ্ন,8,10,0.7272727272727273,18,0.78,0.46
লাল,5,6,0.7142857142857143,11,0.49,0.28
খরচ,5,6,0.7142857142857143,11,0.49,0.28
"স্যার,",5,6,0.7142857142857143,11,0.49,0.28
দেশ,5,6,0.7142857142857143,11,0.49,0.28
বলছি,5,6,0.7142857142857143,11,0.49,0.28
চাই,7,9,0.7,16,0.68,0.42
স্বাধীন,9,12,0.6923076923076923,21,0.87,0.56
করা,38,54,0.6909090909090909,92,3.69,2.51
দেখতে,20,28,0.6896551724137931,48,1.94,1.3
মানুষ,17,24,0.68,41,1.65,1.11
আসলে,8,11,0.6666666666666666,19,0.78,0.51
চেষ্টা,6,8,0.6666666666666666,14,0.58,0.37
নাকি,16,23,0.6666666666666666,39,1.55,1.07
একটি,4,5,0.6666666666666666,9,0.39,0.23
প্রথম,8,11,0.6666666666666666,19,0.78,0.51
থাকা,14,20,0.6666666666666666,34,1.36,0.93
এমন,14,20,0.6666666666666666,34,1.36,0.93
দেখা,12,17,0.6666666666666666,29,1.17,0.79
পরিবারের,4,5,0.6666666666666666,9,0.39,0.23
vantages,6,8,0.6666666666666666,14,0.58,0.37
তাহলে,19,28,0.6551724137931034,47,1.85,1.3
কাজ,11,16,0.6470588235294118,27,1.07,0.74
দেওয়ার,11,16,0.6470588235294118,27,1.07,0.74
খুব,11,16,0.6470588235294118,27,1.07,0.74
গিয়ে,18,27,0.6428571428571429,45,1.75,1.25
হাতে,9,13,0.6428571428571429,22,0.87,0.6
করবে,7,10,0.6363636363636364,17,0.68,0.46
যেমন,7,10,0.6363636363636364,17,0.68,0.46
com,14,21,0.6363636363636364,35,1.36,0.97
কষ্ট,5,7,0.625,12,0.49,0.32
দিলাম,5,7,0.625,12,0.49,0.32
তাকে,5,7,0.625,12,0.49,0.32
বছরের,5,7,0.625,12,0.49,0.32
থেঁকে,8,12,0.6153846153846154,20,0.78,0.56
কেমন,8,12,0.6153846153846154,20,0.78,0.56
যাওয়া,11,17,0.6111111111111112,28,1.07,0.79
কিছু,31,50,0.6078431372549019,81,3.01,2.32
ওদের,3,4,0.6,7,0.29,0.19
ফিরে,3,4,0.6,7,0.29,0.19
মানে,12,19,0.6,31,1.17,0.88
একবার,3,4,0.6,7,0.29,0.19
ছিল,9,14,0.6,23,0.87,0.65
there,3,4,0.6,7,0.29,0.19
হওয়া,3,4,0.6,7,0.29,0.19
all,6,9,0.6,15,0.58,0.42
চাইলে,3,4,0.6,7,0.29,0.19
যেন,3,4,0.6,7,0.29,0.19
বেঁচে,3,4,0.6,7,0.29,0.19
খুর,3,4,0.6,7,0.29,0.19
ফ্রি,3,4,0.6,7,0.29,0.19
দুঃখ,3,4,0.6,7,0.29,0.19
শুনলাম,3,4,0.6,7,0.29,0.19
কেন,18,29,0.6,47,1.75,1.35
হবে!,3,4,0.6,7,0.29,0.19
বিশ্ববিদ্যালয়,3,4,0.6,7,0.29,0.19
কে?,3,4,0.6,7,0.29,0.19
কাছ,3,4,0.6,7,0.29,0.19
মধ্যে,12,19,0.6,31,1.17,0.88
help,3,4,0.6,7,0.29,0.19
লাখ,3,4,0.6,7,0.29,0.19
শালা,3,4,0.6,7,0.29,0.19
উচিত,3,4,0.6,7,0.29,0.19
থাকবে,3,4,0.6,7,0.29,0.19
মুখে,6,9,0.6,15,0.58,0.42
বেশী,3,4,0.6,7,0.29,0.19
হয়ে,31,51,0.5961538461538461,82,3.01,2.37
থেকে,48,80,0.5925925925925926,128,4.66,3.71
দিয়ে,39,65,0.5909090909090909,104,3.79,3.02
খারাপ,10,16,0.5882352941176471,26,0.97,0.74
কিছুই,7,11,0.5833333333333334,18,0.68,0.51
will,7,11,0.5833333333333334,18,0.68,0.51
দিলে,7,11,0.5833333333333334,18,0.68,0.51
না!,18,30,0.5806451612903226,48,1.75,1.39
খেলা,11,18,0.5789473684210527,29,1.07,0.84
meme,15,25,0.5769230769230769,40,1.46,1.16
সম্পর্ক,4,6,0.5714285714285714,10,0.39,0.28
প্রিয়,4,6,0.5714285714285714,10,0.39,0.28
করবো,8,13,0.5714285714285714,21,0.78,0.6
আছে?,4,6,0.5714285714285714,10,0.39,0.28
খাওয়ার,5,8,0.5555555555555556,13,0.49,0.37
ঢাকা,5,8,0.5555555555555556,13,0.49,0.37
কোনো,26,46,0.5531914893617021,72,2.53,2.13
করতে,35,63,0.546875,98,3.4,2.92
চুরি,6,10,0.5454545454545454,16,0.58,0.46
জানতে,7,12,0.5384615384615384,19,0.68,0.56
শুধু,14,25,0.5384615384615384,39,1.36,1.16
ধরে,8,14,0.5333333333333333,22,0.78,0.65
পাওয়া,9,16,0.5294117647058824,25,0.87,0.74
আমাদের,20,37,0.5263157894736842,57,1.94,1.72
তার,21,40,0.5121951219512195,61,2.04,1.86
আপনি,21,40,0.5121951219512195,61,2.04,1.86
just,4,7,0.5,11,0.39,0.32
was,4,7,0.5,11,0.39,0.32
কেনো,4,7,0.5,11,0.39,0.32
নেওয়ার,3,5,0.5,8,0.29,0.23
এসে,8,15,0.5,23,0.78,0.7
যাবে,9,17,0.5,26,0.87,0.79
বাংলাদেশে,4,7,0.5,11,0.39,0.32
তারা,5,9,0.5,14,0.49,0.42
থাকি,3,5,0.5,8,0.29,0.23
আসবে,3,5,0.5,8,0.29,0.23
any,3,5,0.5,8,0.29,0.23
করে,88,175,0.5,263,8.55,8.12
একদম,3,5,0.5,8,0.29,0.23
সারা,3,5,0.5,8,0.29,0.23
পাশ,5,9,0.5,14,0.49,0.42
করলাম,3,5,0.5,8,0.29,0.23
আব্বুর,3,5,0.5,8,0.29,0.23
জায়গা,3,5,0.5,8,0.29,0.23
সিরিয়াল,3,5,0.5,8,0.29,0.23
উপর,7,13,0.5,20,0.68,0.6
করেই,3,5,0.5,8,0.29,0.23
না?,5,9,0.5,14,0.49,0.42
স্কুল,6,11,0.5,17,0.58,0.51
জন্য,49,97,0.5,146,4.76,4.5
তাই,13,25,0.5,38,1.26,1.16
দিন,24,48,0.4897959183673469,72,2.33,2.23
পারে,9,18,0.47368421052631576,27,0.87,0.84
রাস্তায়,6,12,0.46153846153846156,18,0.58,0.56
একজন,6,12,0.46153846153846156,18,0.58,0.56
থাকতে,5,10,0.45454545454545453,15,0.49,0.46
এতো,10,21,0.45454545454545453,31,0.97,0.97
কার,5,10,0.45454545454545453,15,0.49,0.46
ছেলে,13,28,0.4482758620689655,41,1.26,1.3
করার,24,53,0.4444444444444444,77,2.33,2.46
have,4,8,0.4444444444444444,12,0.39,0.37
চুপ,4,8,0.4444444444444444,12,0.39,0.37
did,4,8,0.4444444444444444,12,0.39,0.37
বাবা,15,33,0.4411764705882353,48,1.46,1.53
গেছে,11,24,0.44,35,1.07,1.11
যদি,14,31,0.4375,45,1.36,1.44
জিজ্ঞেস,3,6,0.42857142857142855,9,0.29,0.28
আমাকে,18,41,0.42857142857142855,59,1.75,1.9
people,3,6,0.42857142857142855,9,0.29,0.28
পার,3,6,0.42857142857142855,9,0.29,0.28
কী?,3,6,0.42857142857142855,9,0.29,0.28
এদিকে,3,6,0.42857142857142855,9,0.29,0.28
ছেড়ে,3,6,0.42857142857142855,9,0.29,0.28
মাথায়,3,6,0.42857142857142855,9,0.29,0.28
মার,3,6,0.42857142857142855,9,0.29,0.28
বলে,30,69,0.42857142857142855,99,2.92,3.2
say,3,6,0.42857142857142855,9,0.29,0.28
সবাইকে,3,6,0.42857142857142855,9,0.29,0.28
জীবন,3,6,0.42857142857142855,9,0.29,0.28
সমস্যা,3,6,0.42857142857142855,9,0.29,0.28
এসএসসি,3,6,0.42857142857142855,9,0.29,0.28
কেমনে,3,6,0.42857142857142855,9,0.29,0.28
বাকি,3,6,0.42857142857142855,9,0.29,0.28
নম্বর,3,6,0.42857142857142855,9,0.29,0.28
first,3,6,0.42857142857142855,9,0.29,0.28
যার,5,11,0.4166666666666667,16,0.49,0.51
বার,5,11,0.4166666666666667,16,0.49,0.51
হতে,7,16,0.4117647058823529,23,0.68,0.74
যারা,7,16,0.4117647058823529,23,0.68,0.74
করি,15,36,0.40540540540540543,51,1.46,1.67
this,6,14,0.4,20,0.58,0.65
আসার,4,9,0.4,13,0.39,0.42
আসছে,4,9,0.4,13,0.39,0.42
কথা,16,39,0.4,55,1.55,1.81
গেল,6,14,0.4,20,0.58,0.65
মাত্র,4,9,0.4,13,0.39,0.42
আচ্ছা,4,9,0.4,13,0.39,0.42
লাগছে,4,9,0.4,13,0.39,0.42
more,4,9,0.4,13,0.39,0.42
বাঁশ,4,9,0.4,13,0.39,0.42
খাবার,4,9,0.4,13,0.39,0.42
after,7,17,0.3888888888888889,24,0.68,0.79
বেশি,10,25,0.38461538461538464,35,0.97,1.16
ছাত্র,5,12,0.38461538461538464,17,0.49,0.56
বন্ধ,8,20,0.38095238095238093,28,0.78,0.93
bangle,8,20,0.38095238095238093,28,0.78,0.93
ছবি,8,20,0.38095238095238093,28,0.78,0.93
বছর,8,20,0.38095238095238093,28,0.78,0.93
কোথাও,3,7,0.375,10,0.29,0.32
পুরো,3,7,0.375,10,0.29,0.32
বাঙালি,3,7,0.375,10,0.29,0.32
যায়!,3,7,0.375,10,0.29,0.32
তোরা,3,7,0.375,10,0.29,0.32
now,3,7,0.375,10,0.29,0.32
them,3,7,0.375,10,0.29,0.32
how,3,7,0.375,10,0.29,0.32
কাছে,10,26,0.37037037037037035,36,0.97,1.21
বলা,4,10,0.36363636363636365,14,0.39,0.46
শুরু,8,21,0.36363636363636365,29,0.78,0.97
দেয়া,4,10,0.36363636363636365,14,0.39,0.46
পাশে,4,10,0.36363636363636365,14,0.39,0.46
share,4,10,0.36363636363636365,14,0.39,0.46
আপনার,20,54,0.36363636363636365,74,1.94,2.51
কেউ,18,49,0.36,67,1.75,2.27
করছি,5,13,0.35714285714285715,18,0.49,0.6
করো,5,13,0.35714285714285715,18,0.49,0.6
কেন?,11,30,0.3548387096774194,41,1.07,1.39
আছে,18,50,0.35294117647058826,68,1.75,2.32
দুই,6,16,0.35294117647058826,22,0.58,0.74
লাগে,7,19,0.35,26,0.68,0.88
গেলে,7,19,0.35,26,0.68,0.88
ভালো,20,57,0.3448275862068966,77,1.94,2.65
একটা,27,78,0.34177215189873417,105,2.62,3.62
the,26,76,0.33766233766233766,102,2.53,3.53
সাথে,26,76,0.33766233766233766,102,2.53,3.53
ফুটবল,3,8,0.3333333333333333,11,0.29,0.37
বের,8,23,0.3333333333333333,31,0.78,1.07
khan,3,8,0.3333333333333333,11,0.29,0.37
never,3,8,0.3333333333333333,11,0.29,0.37
বসে,6,17,0.3333333333333333,23,0.58,0.79
জায়গায়,3,8,0.3333333333333333,11,0.29,0.37
যায়,14,41,0.3333333333333333,55,1.36,1.9
had,3,8,0.3333333333333333,11,0.29,0.37
ছিলো,4,11,0.3333333333333333,15,0.39,0.51
দেখে,9,26,0.3333333333333333,35,0.87,1.21
তাদের,5,14,0.3333333333333333,19,0.49,0.65
মজা,3,8,0.3333333333333333,11,0.29,0.37
পহেলা,3,8,0.3333333333333333,11,0.29,0.37
কিন্তু,28,84,0.32941176470588235,112,2.72,3.9
সবাই,13,39,0.325,52,1.26,1.81
পরে,13,40,0.3170731707317073,53,1.26,1.86
একটু,10,31,0.3125,41,0.97,1.44
রেখে,5,15,0.3125,20,0.49,0.7
আগে,22,71,0.3055555555555556,93,2.14,3.29
সামনে,7,22,0.30434782608695654,29,0.68,1.02
your,7,22,0.30434782608695654,29,0.68,1.02
পাবে,3,9,0.3,12,0.29,0.42
খাওয়া,6,19,0.3,25,0.58,0.88
ভাবে,3,9,0.3,12,0.29,0.42
দিকে,6,19,0.3,25,0.58,0.88
শেষে,4,13,0.2857142857142857,17,0.39,0.6
কোন,14,48,0.2857142857142857,62,1.36,2.23
হলে,8,27,0.2857142857142857,35,0.78,1.25
ছেলের,4,13,0.2857142857142857,17,0.39,0.6
কিভাবে,4,13,0.2857142857142857,17,0.39,0.6
তারপর,4,13,0.2857142857142857,17,0.39,0.6
see,4,13,0.2857142857142857,17,0.39,0.6
one,5,17,0.2777777777777778,22,0.49,0.79
ঘরে,5,17,0.2777777777777778,22,0.49,0.79
সময়,18,64,0.27692307692307694,82,1.75,2.97
স্কুলে,3,10,0.2727272727272727,13,0.29,0.46
বাবার,3,10,0.2727272727272727,13,0.29,0.46
নিজেকে,3,10,0.2727272727272727,13,0.29,0.46
দেখার,3,10,0.2727272727272727,13,0.29,0.46
ভুলে,6,21,0.2727272727272727,27,0.58,0.97
what,3,10,0.2727272727272727,13,0.29,0.46
মিনিট,4,14,0.26666666666666666,18,0.39,0.65
হওয়ার,5,18,0.2631578947368421,23,0.49,0.84
আমি,98,372,0.26273458445040215,470,9.52,17.26
like,6,22,0.2608695652173913,28,0.58,1.02
আসে,7,26,0.25925925925925924,33,0.68,1.21
চায়,6,23,0.25,29,0.58,1.07
bad,4,15,0.25,19,0.39,0.7
কালকে,3,11,0.25,14,0.29,0.51
ডিম,3,11,0.25,14,0.29,0.51
ভুল,4,15,0.25,19,0.39,0.7
হাত,3,11,0.25,14,0.29,0.51
মনে,13,53,0.24074074074074073,66,1.26,2.46
অনেক,10,42,0.23255813953488372,52,0.97,1.95
নাম,12,51,0.23076923076923078,63,1.17,2.37
are,6,25,0.23076923076923078,31,0.58,1.16
খায়,3,12,0.23076923076923078,15,0.29,0.56
অবস্থা,3,12,0.23076923076923078,15,0.29,0.56
and,12,52,0.22641509433962265,64,1.17,2.41
থাকলে,4,17,0.2222222222222222,21,0.39,0.79
আছি,4,17,0.2222222222222222,21,0.39,0.79
সেই,8,35,0.2222222222222222,43,0.78,1.62
করলে,4,17,0.2222222222222222,21,0.39,0.79
পড়ে,7,31,0.21875,38,0.68,1.44
লেখা,3,13,0.21428571428571427,16,0.29,0.6
ভাল,3,13,0.21428571428571427,16,0.29,0.6
ছাড়া,3,13,0.21428571428571427,16,0.29,0.6
গরম,3,13,0.21428571428571427,16,0.29,0.6
can,3,13,0.21428571428571427,16,0.29,0.6
আমার,56,261,0.21374045801526717,317,5.44,12.11
উঠে,3,14,0.2,17,0.29,0.65
বাংলাদেশের,3,14,0.2,17,0.29,0.65
তখন,5,25,0.19230769230769232,30,0.49,1.16
তোমাকে,5,25,0.19230769230769232,30,0.49,1.16
পরীক্ষা,6,31,0.1875,37,0.58,1.44
একটী,3,15,0.1875,18,0.29,0.7
aware,11,58,0.1864406779661017,69,1.07,2.69
তুই,9,48,0.1836734693877551,57,0.87,2.23
যখন,55,304,0.18032786885245902,359,5.34,14.11
শেষ,7,38,0.1794871794871795,45,0.68,1.76
যেভাবে,3,16,0.17647058823529413,19,0.29,0.74
তোমার,17,97,0.17346938775510204,114,1.65,4.5
আজকে,5,28,0.1724137931034483,33,0.49,1.3
দেয়,10,58,0.1694915254237288,68,0.97,2.69
সবচেয়ে,3,17,0.16666666666666666,20,0.29,0.79
বিদ্যমান,3,17,0.16666666666666666,20,0.29,0.79
that,4,23,0.16666666666666666,27,0.39,1.07
চলে,5,30,0.16129032258064516,35,0.49,1.39
মোবাইল,4,24,0.16,28,0.39,1.11
বিয়ের,3,18,0.15789473684210525,21,0.29,0.84
ভাই,12,77,0.15384615384615385,89,1.17,3.57
bail,4,25,0.15384615384615385,29,0.39,1.16
যাই,3,19,0.15,22,0.29,0.88
memos,9,63,0.140625,72,0.87,2.92
you,11,78,0.13924050632911392,89,1.07,3.62
কারণ,4,28,0.13793103448275862,32,0.39,1.3
মিম,3,21,0.13636363636363635,24,0.29,0.97
খেতে,3,21,0.13636363636363635,24,0.29,0.97
তোর,7,53,0.12962962962962962,60,0.68,2.46
মেয়ে,4,30,0.12903225806451613,34,0.39,1.39
কইরা,3,23,0.125,26,0.29,1.07
কি?,4,32,0.12121212121212122,36,0.39,1.48
akin,6,49,0.12,55,0.58,2.27
থাকে,3,24,0.12,27,0.29,1.11
দেখি,3,25,0.11538461538461539,28,0.29,1.16
rolls,3,25,0.11538461538461539,28,0.29,1.16
for,4,36,0.10810810810810811,40,0.39,1.67
key,4,36,0.10810810810810811,40,0.39,1.67
trolls,8,77,0.10256410256410256,85,0.78,3.57
but,3,30,0.0967741935483871,33,0.29,1.39
from,3,30,0.0967741935483871,33,0.29,1.39
স্যার,6,61,0.0967741935483871,67,0.58,2.83
when,5,53,0.09259259259259259,58,0.49,2.46
বন্ধু,5,65,0.07575757575757576,70,0.49,3.02
নাই,4,65,0.06060606060606061,69,0.39,3.02
off,3,69,0.04285714285714286,72,0.29,3.2
তুমি,4,112,0.035398230088495575,116,0.39,5.2
